idFrame,idFrameElement,frameName,FrameElementName,coreType,description
153,1728,Activity_ready_state,Activity,cty_core,The action that the #Protagonist is prepared to do.
153,1729,Activity_ready_state,Salient_entity,cty_core,An entity which stands in metonymically for the #Activity.
153,1730,Activity_ready_state,Time,cty_peripheral,The time when the #Protagonist is ready.
153,1731,Activity_ready_state,Result,cty_extra-thematic,The state or event that follows due to the ready state.
153,1732,Activity_ready_state,Duration,cty_peripheral,The length of time that the #Protagonist remains capable of the #Activity without beginning it.
153,1733,Activity_ready_state,Degree,cty_extra-thematic,It selects some gradable attribute and modifies the expected value for it.
557,5523,Activity_resume,Duration,cty_peripheral,The amount of #Time for which the #Activity is resumed.
557,5524,Activity_resume,Activity,cty_core,The #Activity which is being resumed by the #Agent.
557,5525,Activity_resume,Place,cty_peripheral,Where the event takes place.
557,5526,Activity_resume,Explanation,cty_extra-thematic,The #Explanation for which the #Activity is resumed.
557,5527,Activity_resume,Time,cty_peripheral,When the #Activity is resumed.
557,5528,Activity_resume,Manner,cty_peripheral,"Any description of the #Activity  which is not covered by more specific FEs, including epistemic modification (probably, presumably, mysteriously), secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also mark indications of salient characteristics of the #Agent which affect the #Activity."
557,5529,Activity_resume,Agent,cty_core,The #Agent who resumes an #Activity that they were engaged in earlier.
557,5530,Activity_resume,Circumstances,cty_extra-thematic,Circumstances describe the state of the world (at a particular time and place) which is specifically independent of the event itself and any of its participants.
557,5531,Activity_resume,Depictive,cty_extra-thematic,It describes a participant of the state of affairs introduced by the target as being in some state during the action. The depicted state does not necessarily or usually facilitate or cause the state of affairs reported by the target.
557,5532,Activity_resume,Result,cty_extra-thematic,The consequence of the resuming of the #Activity.
557,5533,Activity_resume,Event_description,cty_extra-thematic,"In general, this FE is used for phrases that describe the clause of the target as a whole."
134,1568,Activity_start,Place,cty_peripheral,It identifies the #Place where the #Agent starts an #Activity.
134,1569,Activity_start,Purpose,cty_peripheral,It identifies the #Purpose for which an #Agent engages in a starting #Activity.
134,1570,Activity_start,Time,cty_peripheral,It identifies the #Time when the #Agent starts an #Activity.
134,1571,Activity_start,Depictive,cty_extra-thematic,It identifies the #Depictive phrase describing the actor or undergoer of an action.
134,1572,Activity_start,Manner,cty_peripheral,It identifies the #Manner in which an #Agent starts an #Activity.
134,1573,Activity_start,Means,cty_peripheral,It identifies the #Means by which an #Agent starts an #Activity.
134,1574,Activity_start,Activity,cty_core,It identifies the #Activity that an #Agent starts.
134,1575,Activity_start,Agent,cty_core,It identifies the being that starts the intentional #Activity.
134,1576,Activity_start,Co-timed_event,cty_extra-thematic,It identifies the first #Co-timed_event of the started #Activity.
134,1577,Activity_start,Circumstances,cty_extra-thematic,Circumstances describe the state of the world (at a particular time and place) which is specifically independent of the event itself and any of its participants.
134,1578,Activity_start,Containing_event,cty_extra-thematic,It denotes an event that occurs or state of affairs that holds at a time that includes the time during which the event or state of affairs reported by the target occurs and of which it is taken to be a part.
134,1579,Activity_start,Event_description,cty_extra-thematic,"In general, it is used for phrases that describe the clause of the target as a whole. There are two somewhat distinct subgroups of sentence modifiers that cover this function."
134,1580,Activity_start,Explanation,cty_extra-thematic,"It denotes a proposition from which the main clause (headed by the target) logically follows. This often means that the #Explanation causes the target s proposition, but not in all cases."
134,1581,Activity_start,Particular_iteration,cty_extra-thematic,"Expressions marked with this extra-thematic FE modify a non-iterative use of the target, and indicate that it is conceived as embedded within an iterated series of similar events or states. In addition, most expressions of Particular_iteration indicate which instance of the series is being referred to."
134,1582,Activity_start,New_situation,cty_extra-thematic,A consecutive event to the starting of the #Activity of the #Agent.
134,1583,Activity_start,Communicative_force,cty_extra-thematic,"<def-root>This FE indicates the <fex name=""Cf"">Communicative_force</fex> or authority with which the target operates (often denoted by words such as ""officially,"" ""formally,"" ""technically,"" etc.). </def-root>"
134,1584,Activity_start,Concessive,cty_extra-thematic,"It signifies that the state of affairs expressed by the main clause (containing the target) occurs or holds, and something other than that state of affairs would be expected given the state of affairs in the concessive clause."
150,1690,Activity_stop,Purpose,cty_extra-thematic,It identifies the #Purpose for which an #Agent stopped the #Activity.
150,1691,Activity_stop,Place,cty_peripheral,It identifies the #Place where the #Agent stops the #Activity.
150,1692,Activity_stop,Time,cty_peripheral,It identifies the #Time when the #Agent stops the #Activity.
150,1693,Activity_stop,Depictive,cty_extra-thematic,It is used for a #Depictive phrase describing the actor or undergoer of an action.
150,1694,Activity_stop,Manner,cty_peripheral,It identifies the #Manner in which the #Agent stops the #Activity.
150,1695,Activity_stop,Result,cty_extra-thematic,It identifies the #Result of the stopped #Activity.
150,1696,Activity_stop,Agent,cty_core,It identifies #Agent that stops the #Activity.
150,1697,Activity_stop,Activity,cty_core-unexpressed,It identifies the #Activity that the #Agent stops.
150,1698,Activity_stop,Duration,cty_peripheral,It identifies the length of #Time during which the #Activity is stopped.
150,1699,Activity_stop,Means,cty_extra-thematic,It identifies the #Means by which the #Agent stops the #Activity.
150,1700,Activity_stop,Co-timed_event,cty_extra-thematic,It identifies the last #Co-timed_event of the stopped #Activity.
150,1701,Activity_stop,Degree,cty_peripheral,It describes the completeness of stopping.
150,1702,Activity_stop,Frequency,cty_extra-thematic,"It is defined as the number of times an event occurs per some unit of time. A Frequency expression answers the question how often. It is to be distinguished from Iteration, which pertains simply to the number of times an event occurs-Iteration expressions answer the question how many times."
150,1703,Activity_stop,Containing_event,cty_extra-thematic,It denotes an event that occurs or state of affairs that holds at a time that includes the time during which the event or state of affairs reported by the target occurs and of which it is taken to be a part.
150,1704,Activity_stop,Circumstances,cty_extra-thematic,Circumstances describe the state of the world (at a particular time and place) which is specifically independent of the event itself and any of its participants.
150,1705,Activity_stop,Re-encoding,cty_extra-thematic,It presents the current frame as an integral part of a larger conceptualization expressed by another frame.
150,1706,Activity_stop,Explanation,cty_extra-thematic,The reason the #Agent stops the #Activity.
