idFrameElement,frameName,name,coreType,description
6119,Extradition,Authorities,cty_core,"The #Authorities act on behalf of the #Current_jurisdiction, giving up the #Suspect to the #Crime_jurisdiction."
6120,Extradition,Current_jurisdiction,cty_core,The jurisdiction (generally a nation) the #Suspect starts off in.
6121,Extradition,Crime_jurisdiction,cty_core,The jurisdiction (generally a nation) to which the #Suspect is sent.
6122,Extradition,Suspect,cty_core,The #Suspect is forced to go to the jurisdiction where a crime he or she is suspected of took place or is being tried.
6123,Extradition,Purpose,cty_peripheral,The #Purpose for which the #Authorities extradite the #Suspect.
6125,Extradition,Legal_basis,cty_peripheral,It indicates the basis in law of an extradition.
6126,Extradition,Time,cty_peripheral,The time at which  the #Suspect is moved.
6127,Extradition,Manner,cty_peripheral,A description of the manner of the extradition.
6129,Extradition,Means,cty_peripheral,The act of the #Authorities which brings about the transfer from the #Current_jurisdiction to the #Crime_jurisdiction.
6130,Extradition,Place,cty_peripheral,The location where the extradition occurs.
6881,Extreme_point,Entity,cty_core,An concrete or abstract entity that possesses characteristics that change over time.
6882,Extreme_point,Marker,cty_core,"A point or phase in time when, viewed across the actual or expected development, the #Entity's powers have reached an extreme high or low point. The point or phase is often identified metonymically by reference to a product created by the #Entity or an event involving the #Entity."
6972,Extreme_value,Entity,cty_core,The #Entity whose #Value of a particular gradable #Attribute is extreme.
6973,Extreme_value,Attribute,cty_core,The feature of an #Entity which is under discussion.
6974,Extreme_value,Value,cty_core,A quantity or other characterization of the #Entity's state with respect to the #Attribute.
6975,Extreme_value,Period,cty_peripheral,The period for which values of a particular #Attribute of one or more entities are compared.
1655,Facial_expression,Expression,cty_core,This is the #Expression made.
1656,Facial_expression,Possessor,cty_core,This is the person who exhibits the #Expression.
1659,Facial_expression,Conveyed_emotion,cty_core,The emotion that is conveyed by a particular #Expression.
1653,Facial_expression,Manner,cty_peripheral,The #Manner of #Expression.
1654,Facial_expression,Degree,cty_peripheral,The #Degree to which the #Expression occurs.
1660,Facial_expression,Intended_perceiver,cty_peripheral,An entity toward which the #Expression is directed.
1662,Facial_expression,Duration,cty_peripheral,The period of time for which the facial #Expression is held.
3608,Fairness_evaluation,Actor,cty_core,The #Actor is the individual who performs the #Action and can thus be characterized with respect to how that #Action affects the #Affected_party.
3609,Fairness_evaluation,Action,cty_core,The #Action is judged based on how just and appropriate it is to the #Affected_party in a particular situation.
3610,Fairness_evaluation,Grounds,cty_core,The #Grounds is the event or state that requires some decision or action in response to it for which the #Actor is judged.
3611,Fairness_evaluation,Affected_party,cty_core,The #Affected_party s treatment is what determines the evaluation of the #Actor's #Action.
3612,Fairness_evaluation,Degree,cty_peripheral,The #Degree is the extent to which the #Action or #Actor is evaluated as being fair or unfair.
3613,Fairness_evaluation,Parameter,cty_peripheral,The #Parameter is the area in which the #Action is judged.
3614,Fairness_evaluation,Manner,cty_peripheral,"A holistic characterization of the description of the #Actor, including depictions of the #Actor's state in terms of how it affects the entire description."
2839,Fall_asleep,Sleeper,cty_core,The #Sleeper is the entity that falls asleep.
2838,Fall_asleep,Place,cty_peripheral,It identifies the #Place where the event occurs.
2840,Fall_asleep,Time,cty_peripheral,It identifies the #Time when the event occurs.
9998,Fall_for,Victim,cty_core,The #Victim has false beliefs as a result of exposure to a #Deception. 
9999,Fall_for,Deception,cty_core,"The #Deception is perceived by the #Victim, leading to false beliefs. The #Deception, orchestrated by an agent or agents with the intention of deception, may be any misinformation, event, or situation perceived by the #Victim."
10000,Fall_for,Time,cty_peripheral,The #Time when the #Victim falls for the #Deception.
10001,Fall_for,Place,cty_peripheral,The #Place where the #Victim falls for the #Deception.
10002,Fall_for,Manner,cty_peripheral,A description of the way #Victim is deceived which is not covered by more specific FEs.
10003,Fall_for,Degree,cty_peripheral,The #Degree to which the #Victim believes the #Deception.
8151,Fame,Entity,cty_core,The #Entity which is widely known and recognized.
8156,Fame,Reason,cty_core,"The behavior, attribute, or associated entities that provide the reason for the #Entity being famous."
8152,Fame,Degree,cty_peripheral,A modifier expressing  the degree of fame of the #Entity.
8157,Fame,Duration,cty_peripheral,The length of time during which the #Entity is famous.
8158,Fame,Place,cty_peripheral,The location where the #Entity is famous.
8160,Fame,Means,cty_peripheral,The way in which the #Entity becomes famous.
6981,Familiarity,Entity,cty_core,"A concrete thing or abstract phenomenon or fact that is assessed in terms of how well recognizable it is to a #Cognizer.

<ex>He gave <fex name=""ent"">an address</fex> quite <t>familiar</t> to the chauffeur.</ex>"
6982,Familiarity,Cognizer,cty_core,The (typically non-specific and backgrounded) sentient being for whom the #Entity possesses a specified level of recognizability.
6983,Familiarity,Degree,cty_core,The deviation of the actual level of recognizability of the #Entity from the level specified by the target.
6986,Familiarity,Context,cty_peripheral,A situation or source from which the #Entity is made more recognizanable to the #Cognizer.
6987,Fastener,Container,cty_core,It identifies the item that is closed with the #Fastener.
6988,Fastener,Fastener,cty_core,The artifact created to close a #Container.
6989,Fastener,Container_portal,cty_core,It identifies the active zone of the container where the #Fastener is located.
